state/union_territory,city/town/village,year,so2,no2,pm10,pm2.5
Andhra Pradesh,Amaravati,2021,14.0,12.0,55.0,28.0
Andhra Pradesh,Anatapur,2021,7.0,16.0,64.0,30.0
Andhra Pradesh,Chittor,2021,5.0,14.0,46.0,25.0
Andhra Pradesh,Eluru,2021,5.0,17.0,63.0,30.0
Andhra Pradesh,Guntur,2021,5.0,17.0,60.0,29.0
Andhra Pradesh,Kadapa,2021,5.0,14.0,53.0,26.0
Andhra Pradesh,Kakinada,2021,8.0,14.0,61.0,28.0
Andhra Pradesh,Kurnool,2021,6.0,15.0,58.0,26.0
Andhra Pradesh,Nellore,2021,5.0,17.0,55.0,23.0
Andhra Pradesh,Ongole,2021,5.0,17.0,53.0,18.0
Andhra Pradesh,Rajahmundry,2021,8.0,15.0,72.0,33.0
Andhra Pradesh,Srikakulam,2021,9.0,20.0,77.0,27.0
Andhra Pradesh,Tirupati,2021,6.0,22.0,51.0,27.0
Andhra Pradesh,Vijayawada,2021,5.0,17.0,65.0,34.0
Andhra Pradesh,Visakhapatnam,2021,12.0,35.0,103.0,41.0
Andhra Pradesh,Vizianagaram,2021,9.0,19.0,72.0,27.0
Arunachal Pradesh,Itanagar,2021,3.0,5.0,67.0,19.0
Arunachal Pradesh,Naharlagun,2021,27.0,6.0,54.0,15.0
Assam,Bongaigaon,2021,4.0,11.0,40.0,28.5
Assam,Daranga,2021,6.0,13.0,54.0,28.5
Assam,Dibrugarh,2021,6.0,11.0,39.0,28.5
Assam,Golaghat,2021,6.0,12.0,50.0,28.5
Assam,Guwahati,2021,26.0,11.0,114.0,60.0
Assam,Magherita,2021,6.0,11.0,41.0,28.5
Assam,Nagaon,2021,6.0,14.0,101.0,28.5
Assam,Nalbari,2021,6.0,14.0,92.0,42.0
Assam,North Lakhimpur,2021,6.0,14.0,57.0,28.5
Assam,Silcher,2021,8.0,9.0,46.0,37.0
Assam,Sivasagar,2021,6.0,12.0,47.0,28.5
Assam,Tezpur,2021,6.0,14.0,97.0,28.5
Assam,Tinsukia,2021,6.0,11.0,47.0,28.5
Bihar,Gaya,2021,11.0,14.0,79.0,52.0
Bihar,Hajipur,2021,5.0,11.0,148.0,60.0
Bihar,Muzaffarpur,2021,6.0,13.0,142.0,80.0
Bihar,Patna,2021,8.0,39.0,150.0,73.0
Chandigarh (UT),Chandigarh,2021,6.0,24.0,98.0,49.0
Chattisgarh,Bilaspur,2021,8.0,13.0,71.0,28.0
Chattisgarh,Durg-Bhillainagar,2021,7.0,11.0,61.0,31.0
Chattisgarh,Korba,2021,8.0,18.0,61.0,31.0
Chattisgarh,Raipur,2021,13.0,22.0,62.0,35.0
"Dadara and Nagar Haveli and Daman and Diu (UT), India",Daman,2021,15.0,20.0,84.0,30.0
Delhi (UT),Delhi,2021,10.0,42.0,207.0,107.0
Goa,Amona,2021,7.0,13.0,59.0,27.0
Goa,Assanora,2021,7.0,13.0,58.0,26.0
Goa,Bicholim,2021,8.0,13.0,61.0,28.0
Goa,Codli,2021,7.0,13.0,62.0,28.0
Goa,Cuncolim,2021,6.0,13.0,67.0,32.0
Goa,Honda,2021,7.0,13.0,61.0,28.0
Goa,Kundaim,2021,7.0,13.0,62.0,28.0
Goa,Mapusa,2021,2.0,16.0,57.0,24.0
Goa,Margao,2021,7.0,13.0,59.0,27.0
Goa,Panaji,2021,2.0,15.0,73.0,26.0
Goa,Ponda,2021,8.0,13.0,63.0,28.0
